Year,ID,Area,QS,N/ha,Manure/ha,Mulch/ha,Yield/ha,for crop
1,Parcel69809.8243892145-b703609_18a74ce22e5_-6370,0.322,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel10262.742381515267-b703609_18a74ce22e5_-6487,0.283,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel5827.380967070395-b703609_18a74ce22e5_-635b,0.283,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel34180.095422856924-b703609_18a74ce22e5_-64d5,0.416,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel35621.52574318282-b703609_18a74ce22e5_-639d,0.316,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel57603.09402052384-b703609_18a74ce22e5_-6325,0.352,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel52382.73913336401-b703609_18a74ce22e5_-6391,0.193,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel59572.888147999-b703609_18a74ce22e5_-64f2,0.307,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel77863.39852956848-b703609_18a74ce22e5_-631e,0.161,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel95129.26006352215-b703609_18a74ce22e5_-631c,0.251,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel97216.45376708872-b703609_18a74ce22e5_-6506,0.319,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel19731.906119322197-b703609_18a74ce22e5_-6387,0.360,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel89117.52898152314-b703609_18a74ce22e5_-639e,0.381,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel56303.79897943828-b703609_18a74ce22e5_-64e1,0.471,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel91298.88935147846-b703609_18a74ce22e5_-64f1,0.275,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel2484.6217172577844-b703609_18a74ce22e5_-6315,0.266,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel12717.636480516081-b703609_18a74ce22e5_-6320,0.349,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel2574.279626203246-b703609_18a74ce22e5_-6388,0.273,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel6023.4902617956495-b703609_18a74ce22e5_-64bc,0.393,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel82315.5413573627-b703609_18a74ce22e5_-64fe,0.241,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel18048.64229144999-b703609_18a74ce22e5_-6385,0.342,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel22183.888253386165-b703609_18a74ce22e5_-64d2,0.357,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel57999.28054385089-b703609_18a74ce22e5_-637c,0.442,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel85422.74130769288-b703609_18a74ce22e5_-6329,0.463,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel30065.28366793653-b703609_18a74ce22e5_-636a,0.482,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel55387.23603534151-b703609_18a74ce22e5_-6375,0.449,1.000,39.500,0.000,824.363,706.597,Millet
1,Parcel38060.33391335242-b703609_18a74ce22e5_-64e9,0.415,1.000,39.500,0.000,0.000,224.775,Peanut
1,Parcel63976.53760179416-b703609_18a74ce22e5_-653c,0.133,1.000,39.500,0.000,0.000,224.775,Peanut
